time,open,high,low,close,volume,value,foreign_buy_vol,foreign_sell_vol,foreign_buy_val,foreign_sell_val,foreign_room
2009-07-16,7.18,8.08,7.18,7.2,2401900,17293680.0,,,,,
2009-07-17,6.93,7.0,6.84,6.84,1002480,6856963.2,,,,,
2009-07-20,6.5,6.5,6.5,6.5,156560,1017640.0,,,,,
2009-07-21,6.17,6.37,6.17,6.26,2133390,13355021.4,,,,,
2009-07-22,6.37,6.44,6.28,6.35,949090,6026721.5,,,,,
2009-07-23,6.32,6.66,6.32,6.66,758310,5050344.600000001,,,,,
2009-07-24,6.98,6.98,6.98,6.98,640060,4467618.8,,,,,
2009-07-27,7.32,7.32,7.09,7.32,3264870,23898848.4,,,,,
2009-07-28,7.32,7.5,7.12,7.14,2008120,14337976.8,,,,,
2009-07-29,7.18,7.27,6.93,6.93,1060730,7350858.899999999,,,,,
2009-07-30,6.78,6.91,6.64,6.8,830120,5644816.0,,,,,
2009-07-31,6.91,7.12,6.89,7.12,1807290,12867904.8,,,,,
2009-08-03,7.18,7.32,7.09,7.18,1203870,8643786.6,,,,,
2009-08-04,7.36,7.36,7.18,7.23,1428170,10325669.1,,,,,
2009-08-05,7.16,7.23,7.11,7.18,1130020,8113543.6,,,,,
2009-08-06,7.18,7.23,7.09,7.09,1483460,10517731.4,,,,,
2009-08-07,7.09,7.14,7.03,7.07,668260,4724598.2,,,,,
2009-08-10,7.12,7.18,7.09,7.16,730910,5233315.600000001,,,,,
2009-08-11,7.12,7.16,7.05,7.07,557710,3943009.7,,,,,
2009-08-12,7.14,7.16,7.03,7.03,1001200,7038436.0,,,,,
2009-08-13,7.14,7.14,7.03,7.07,1161040,8208552.800000001,,,,,
2009-08-14,7.09,7.16,7.07,7.12,878140,6252356.8,,,,,
2009-08-17,7.18,7.21,7.09,7.09,1534900,10882441.0,,,,,
2009-08-18,7.0,7.09,6.98,7.02,778860,5467597.199999999,,,,,
2009-08-19,7.02,7.07,7.0,7.02,713790,5010805.8,,,,,
2009-08-20,7.0,7.02,6.96,6.96,867530,6038008.8,,,,,
2009-08-21,7.09,7.18,7.0,7.02,1127700,7916453.999999999,,,,,
2009-08-24,7.0,7.05,7.0,7.02,684140,4802662.8,,,,,
2009-08-25,7.0,7.0,6.94,6.96,715430,4979392.8,,,,,
2009-08-26,6.93,6.96,6.93,6.93,635150,4401589.5,,,,,
2009-08-27,6.91,6.93,6.87,6.89,609730,4201039.7,,,,,
2009-08-28,6.91,6.93,6.89,6.93,928800,6436584.0,,,,,
2009-08-31,6.98,7.07,6.91,6.98,763090,5326368.2,,,,,
