time,open,high,low,close,volume,value,foreign_buy_vol,foreign_sell_vol,foreign_buy_val,foreign_sell_val,foreign_room,foreign_ownership_pct,foreign_buy_value_bn,foreign_sell_value_bn
2018-06-22,8.588,8.588,8.588,8.588,0,0.0,0.0,0.0,0.0,0.0,,0,0,0
2018-06-25,8.588,8.588,8.588,8.588,0,0.0,0.0,0.0,0.0,0.0,,0,0,0
2018-06-26,8.588,8.588,8.588,8.588,0,0.0,0.0,0.0,0.0,0.0,,0,0,0
2018-06-27,8.588,8.588,8.588,8.588,0,0.0,0.0,0.0,0.0,0.0,,0,0,0
2018-06-28,8.588,8.588,8.588,8.588,0,0.0,0.0,0.0,0.0,0.0,,0,0,0
2018-06-29,8.588,8.588,8.588,8.588,0,0.0,0.0,0.0,0.0,0.0,,0,0,0
2018-07-02,8.588,8.588,8.588,8.588,0,0.0,0.0,0.0,0.0,0.0,,0,0,0
2018-07-03,8.588,8.588,8.588,8.588,0,0.0,0.0,0.0,0.0,0.0,,0,0,0
2018-07-04,8.588,8.588,8.588,8.588,0,0.0,0.0,0.0,0.0,0.0,,0,0,0
2018-07-05,8.588,8.588,8.588,8.588,0,0.0,0.0,0.0,0.0,0.0,,0,0,0
2018-07-06,8.588,8.588,8.588,8.588,0,0.0,0.0,0.0,0.0,0.0,,0,0,0
2018-07-09,8.588,8.588,8.588,8.588,0,0.0,0.0,0.0,0.0,0.0,,0,0,0
2018-07-10,8.588,8.588,8.588,8.588,0,0.0,0.0,0.0,0.0,0.0,,0,0,0
2018-07-11,8.588,8.588,8.588,8.588,0,0.0,0.0,0.0,0.0,0.0,,0,0,0
2018-07-12,8.588,8.588,8.588,8.588,0,0.0,0.0,0.0,0.0,0.0,,0,0,0
2018-07-13,8.588,8.588,8.588,8.588,0,0.0,0.0,0.0,0.0,0.0,,0,0,0
2018-07-16,8.588,8.588,8.588,8.588,0,0.0,0.0,0.0,0.0,0.0,,0,0,0
2018-07-17,8.588,8.588,8.588,8.588,0,0.0,0.0,0.0,0.0,0.0,,0,0,0
2018-07-18,8.588,8.588,8.588,8.588,0,0.0,0.0,0.0,0.0,0.0,,0,0,0
2018-07-19,8.588,8.588,8.588,8.588,0,0.0,0.0,0.0,0.0,0.0,,0,0,0
2018-07-20,8.588,8.588,8.588,8.588,0,0.0,0.0,0.0,0.0,0.0,,0,0,0
2018-07-23,8.588,8.588,8.588,8.588,0,0.0,0.0,0.0,0.0,0.0,,0,0,0
2018-07-24,8.588,8.588,8.588,8.588,0,0.0,0.0,0.0,0.0,0.0,,0,0,0
2018-07-25,8.588,8.588,8.588,8.588,0,0.0,0.0,0.0,0.0,0.0,,0,0,0
2018-07-26,8.588,8.588,8.588,8.588,0,0.0,0.0,0.0,0.0,0.0,,0,0,0
2018-07-27,8.588,8.588,8.588,8.588,0,0.0,0.0,0.0,0.0,0.0,,0,0,0
2018-07-30,8.588,8.588,8.588,8.588,0,0.0,0.0,0.0,0.0,0.0,,0,0,0
2018-07-31,8.588,8.588,8.588,8.588,0,0.0,0.0,0.0,0.0,0.0,,0,0,0
2018-08-01,8.588,8.588,8.588,8.588,0,0.0,0.0,0.0,0.0,0.0,,0,0,0
2018-08-02,8.588,8.588,8.588,8.588,0,0.0,0.0,0.0,0.0,0.0,,0,0,0
2018-08-03,8.588,8.588,8.588,8.588,0,0.0,0.0,0.0,0.0,0.0,,0,0,0
