time,open,high,low,close,volume,value,foreign_buy_vol,foreign_sell_vol,foreign_buy_val,foreign_sell_val,foreign_room
2013-01-02,4.005,4.152,4.005,4.129,380320,1570341.2799999998,,,,,
2013-01-03,4.129,4.152,4.005,4.073,366960,1494628.08,,,,,
2013-01-04,4.05,4.129,4.039,4.129,278020,1147944.5799999998,,,,,
2013-01-07,4.107,4.141,4.084,4.107,204570,840168.99,,,,,
2013-01-08,4.118,4.311,4.107,4.311,535860,2310092.46,,,,,
2013-01-09,4.526,4.526,4.368,4.424,1588500,7027524.000000001,,,,,
2013-01-10,4.39,4.515,4.379,4.481,607050,2720191.05,,,,,
2013-01-11,4.481,4.504,4.402,4.413,614810,2713156.5300000003,,,,,
2013-01-14,4.334,4.368,4.266,4.277,499600,2136789.2,,,,,
2013-01-15,4.277,4.39,4.277,4.334,357880,1551051.92,,,,,
2013-01-16,4.379,4.447,4.334,4.379,368380,1613136.0199999998,,,,,
2013-01-17,4.368,4.39,4.322,4.322,292200,1262888.4,,,,,
2013-01-18,4.288,4.322,4.277,4.3,362960,1560728.0,,,,,
2013-01-21,4.288,4.311,4.254,4.277,119000,508963.0,,,,,
2013-01-22,4.277,4.3,4.118,4.209,373240,1570967.16,,,,,
2013-01-23,4.186,4.232,4.186,4.209,192530,810358.7699999999,,,,,
2013-01-24,4.232,4.322,4.232,4.311,141650,610653.15,,,,,
2013-01-25,4.356,4.481,4.356,4.458,787540,3510853.3200000003,,,,,
2013-01-28,4.481,4.629,4.481,4.515,558550,2521853.25,,,,,
2013-01-29,4.504,4.538,4.47,4.481,207130,928149.53,,,,,
2013-01-30,4.538,4.719,4.538,4.629,689630,3192297.27,,,,,
2013-01-31,4.606,4.617,4.538,4.549,366670,1667981.83,,,,,
2013-02-01,4.538,4.538,4.424,4.481,323300,1448707.3,,,,,
2013-02-04,4.515,4.515,4.447,4.47,166570,744567.8999999999,,,,,
2013-02-05,4.436,4.47,4.413,4.447,183200,814690.4,,,,,
2013-02-06,4.436,4.538,4.436,4.47,90900,406323.0,,,,,
2013-02-07,4.481,4.492,4.458,4.492,155490,698461.08,,,,,
2013-02-08,4.504,4.595,4.481,4.515,92170,416147.55,,,,,
2013-02-18,4.515,4.561,4.504,4.538,131010,594523.38,,,,,
2013-02-19,4.538,4.549,4.492,4.504,168260,757843.0399999999,,,,,
2013-02-20,4.447,4.504,4.447,4.481,171590,768894.7899999999,,,,,
2013-02-21,4.481,4.492,4.379,4.379,307570,1346849.0299999998,,,,,
2013-02-22,4.413,4.47,4.254,4.368,337970,1476252.9600000002,,,,,
2013-02-25,4.413,4.413,4.345,4.356,143330,624345.48,,,,,
2013-02-26,4.356,4.356,4.186,4.186,285040,1193177.44,,,,,
2013-02-27,4.152,4.232,4.141,4.152,283110,1175472.72,,,,,
2013-02-28,4.152,4.22,4.152,4.197,191070,801920.79,,,,,
2013-03-01,4.209,4.209,4.175,4.197,96880,406605.36,,,,,
2013-03-04,4.186,4.186,4.084,4.107,225550,926333.85,,,,,
2013-03-05,4.084,4.107,4.05,4.05,194960,789588.0,,,,,
2013-03-06,4.05,4.118,4.05,4.107,60350,247857.45,,,,,
2013-03-07,4.141,4.141,4.039,4.084,115870,473213.08,,,,,
2013-03-08,4.073,4.186,4.073,4.175,116190,485093.25,,,,,
2013-03-11,4.175,4.254,4.175,4.243,78540,333245.22000000003,,,,,
2013-03-12,4.22,4.288,4.186,4.243,67310,285596.33,,,,,
2013-03-13,4.266,4.266,4.197,4.209,66390,279435.50999999995,,,,,
2013-03-14,4.254,4.254,4.209,4.232,15620,66103.84,,,,,
2013-03-15,4.243,4.243,4.209,4.22,13800,58236.0,,,,,
2013-03-18,4.232,4.243,4.186,4.186,54560,228388.16,,,,,
2013-03-19,4.163,4.209,4.163,4.197,27280,114494.16,,,,,
2013-03-20,4.232,4.254,4.197,4.22,63140,266450.8,,,,,
2013-03-21,4.243,4.379,4.232,4.334,274540,1189856.36,,,,,
2013-03-22,4.379,4.515,4.311,4.311,387570,1670814.27,,,,,
2013-03-25,4.39,4.39,4.334,4.368,173440,757585.92,,,,,
2013-03-26,4.402,4.402,4.345,4.345,138400,601348.0,,,,,
2013-03-27,4.334,4.345,4.288,4.288,187110,802327.68,,,,,
2013-03-28,4.3,4.334,4.288,4.288,97940,419966.72,,,,,
2013-03-29,4.288,4.311,4.254,4.288,184310,790321.28,,,,,
2013-04-01,4.266,4.356,4.266,4.356,142540,620904.24,,,,,
2013-04-02,4.368,4.47,4.368,4.39,413850,1816801.5,,,,,
2013-04-03,4.402,4.413,4.356,4.356,128770,560922.12,,,,,
2013-04-04,4.368,4.368,4.311,4.322,58120,251194.64,,,,,
2013-04-05,4.311,4.356,4.311,4.356,123140,536397.84,,,,,
2013-04-08,4.356,4.504,4.356,4.504,721860,3251257.4399999995,,,,,
2013-04-09,4.515,4.719,4.504,4.64,894350,4149784.0,,,,,
2013-04-10,4.651,4.651,4.515,4.515,305550,1379558.25,,,,,
2013-04-11,4.515,4.515,4.413,4.447,312510,1389731.97,,,,,
2013-04-12,4.481,4.504,4.39,4.424,332180,1469564.32,,,,,
2013-04-15,4.368,4.424,4.266,4.288,320830,1375719.04,,,,,
2013-04-16,4.288,4.3,4.175,4.254,137720,585860.8799999999,,,,,
2013-04-17,4.334,4.368,4.254,4.311,105540,454982.94,,,,,
2013-04-18,4.266,4.288,4.186,4.197,135860,570204.42,,,,,
2013-04-22,4.254,4.254,4.186,4.186,143400,600272.4,,,,,
2013-04-23,4.243,4.243,4.197,4.232,70860,299879.52,,,,,
2013-04-24,4.254,4.254,4.186,4.209,150350,632823.1499999999,,,,,
2013-04-25,4.266,4.266,4.209,4.22,46180,194879.6,,,,,
2013-04-26,4.22,4.243,4.209,4.22,51690,218131.8,,,,,
2013-05-02,4.243,4.243,4.197,4.197,66280,278177.16000000003,,,,,
2013-05-03,4.209,4.22,4.197,4.209,73320,308603.87999999995,,,,,
2013-05-06,4.243,4.345,4.209,4.345,188450,818815.25,,,,,
2013-05-07,4.311,4.345,4.254,4.254,91010,387156.54,,,,,
2013-05-08,4.311,4.322,4.266,4.288,122380,524765.4400000001,,,,,
2013-05-09,4.311,4.311,4.288,4.288,80750,346256.0,,,,,
2013-05-10,4.311,4.311,4.288,4.3,64700,278210.0,,,,,
2013-05-13,4.334,4.334,4.3,4.311,60290,259910.19,,,,,
2013-05-14,4.311,4.458,4.311,4.356,321880,1402109.28,,,,,
2013-05-15,4.39,4.402,4.356,4.402,156680,689705.36,,,,,
2013-05-16,4.424,4.424,4.368,4.402,129340,569354.68,,,,,
2013-05-17,4.39,4.402,4.368,4.368,103500,452088.00000000006,,,,,
2013-05-20,4.368,4.515,4.368,4.458,311400,1388221.2,,,,,
2013-05-21,4.685,4.765,4.549,4.765,1829150,8715899.75,,,,,
2013-05-22,4.765,4.787,4.731,4.731,473190,2238661.89,,,,,
2013-05-23,4.685,4.787,4.685,4.731,620980,2937856.38,,,,,
2013-05-24,4.731,4.81,4.719,4.765,325890,1552865.85,,,,,
2013-05-27,4.912,4.935,4.844,4.855,364260,1768482.3,,,,,
2013-05-28,4.878,4.912,4.855,4.89,330890,1618052.1,,,,,
2013-05-29,4.935,5.037,4.901,4.992,495190,2471988.48,,,,,
2013-05-30,4.969,4.992,4.935,4.98,294550,1466859.0000000002,,,,,
2013-05-31,5.014,5.162,4.992,5.048,580620,2930969.76,,,,,
2013-06-03,5.048,5.094,5.003,5.026,312910,1572685.66,,,,,
2013-06-04,5.026,5.173,5.026,5.071,721910,3660805.61,,,,,
2013-06-05,5.105,5.162,5.105,5.128,114490,587104.72,,,,,
2013-06-06,5.071,5.184,5.071,5.184,189030,979931.52,,,,,
