time,open,high,low,close,volume,value,foreign_buy_vol,foreign_sell_vol,foreign_buy_val,foreign_sell_val,foreign_room,foreign_ownership_pct,foreign_buy_value_bn,foreign_sell_value_bn
2010-01-26,0.0,0.0,0.0,0.0,0,0.0,,,,,,,,
2010-01-27,0.0,0.0,0.0,0.0,0,0.0,,,,,,,,
2010-02-05,4.31,4.31,4.31,4.31,0,0.0,,,,,,,,
2010-03-01,3.11,3.11,3.11,3.11,0,0.0,,,,,,,,
2010-03-02,3.11,3.11,3.11,3.11,0,0.0,,,,,,,,
2010-03-03,3.11,3.11,3.11,3.11,0,0.0,,,,,,,,
2010-03-04,2.82,2.82,2.82,2.82,400,1128.0,,,,,,,,
2010-03-05,2.98,3.08,2.98,3.08,1150,3542.0,,,,,,,,
2010-03-08,2.98,3.08,3.08,3.08,0,0.0,,,,,,,,
2010-03-09,2.98,3.08,3.08,3.08,0,0.0,,,,,,,,
2010-03-10,2.68,2.72,2.68,2.72,1020,2774.4,,,,,,,,
2010-03-11,2.52,2.52,2.45,2.45,1200,2940.0,,,,,,,,
2010-03-12,2.49,2.49,2.49,2.49,500,1245.0,,,,,,,,
2010-03-15,2.72,2.72,2.49,2.49,1200,2988.0000000000005,,,,,,,,
2010-03-16,2.75,2.75,2.75,2.75,200,550.0,,,,,,,,
2010-03-17,2.75,2.75,2.75,2.75,0,0.0,,,,,,,,
2010-03-18,3.02,3.02,2.82,2.82,5320,15002.4,,,,,,,,
2010-03-19,3.08,3.08,2.65,2.65,1600,4240.0,,,,,,,,
2010-03-22,2.82,2.95,2.82,2.95,3000,8850.0,,,,,,,,
2010-03-23,3.18,3.18,3.18,3.18,120,381.6,,,,,,,,
2010-03-24,3.18,3.18,3.18,3.18,0,0.0,,,,,,,,
2010-03-26,2.92,2.88,2.88,2.88,0,0.0,,,,,,,,
2010-03-29,3.18,3.18,3.18,3.18,4000,12720.0,,,,,,,,
2010-03-30,3.18,0.0,0.0,0.0,0,0.0,,,,,,,,
2010-03-31,2.88,2.88,2.88,2.88,10,28.8,,,,,,,,
2010-04-01,3.15,3.15,3.15,3.15,2010,6331.5,,,,,,,,
2010-04-02,2.85,2.85,2.85,2.85,10,28.5,,,,,,,,
2010-04-05,2.98,2.98,2.98,2.98,20,59.6,,,,,,,,
