time,open,high,low,close,volume,value,foreign_buy_vol,foreign_sell_vol,foreign_buy_val,foreign_sell_val,foreign_room,foreign_ownership_pct,foreign_buy_value_bn,foreign_sell_value_bn
2016-12-20,33.785,33.785,33.785,33.785,174000,5878589.999999999,,,,,,,,
2016-12-21,38.853,38.853,29.562,30.769,358284,11024040.396,,,,,,,,
2016-12-22,30.769,30.769,27.873,27.963,511765,14310484.695,,,,,,,,
2016-12-23,25.972,30.769,25.972,29.019,200197,5809516.743,,,,,,,,
2016-12-26,29.833,29.833,28.838,29.049,65420,1900385.58,,,,,,,,
2016-12-27,28.959,29.049,28.898,28.989,106647,3091589.883,,,,,,,,
2016-12-28,28.989,29.019,28.657,28.748,79476,2284776.048,,,,,,,,
2016-12-29,28.506,28.808,28.355,28.687,78400,2249060.8000000003,,,,,,,,
2016-12-30,28.657,28.808,28.355,28.657,96960,2778582.72,,,,,,,,
2017-01-03,28.808,28.959,28.717,28.898,55344,1599330.912,,,,,,,,
2017-01-04,28.959,29.411,28.868,29.26,77150,2257409.0,,,,,,,,
2017-01-05,29.468,30.014,29.256,29.862,127379,3803791.698,,,,,,,,
2017-01-06,29.801,30.408,29.801,30.347,139310,4227640.57,,,,,,,,
2017-01-09,30.287,31.984,30.287,31.984,123351,3945258.384,,,,,,,,
2017-01-10,31.53,33.045,31.53,32.682,221390,7235467.98,,,,,,,,
2017-01-11,32.136,33.349,31.833,33.136,159433,5282971.888,,,,,,,,
2017-01-12,33.197,33.955,33.045,33.621,229238,7707210.798,,,,,,,,
2017-01-13,33.955,33.955,32.136,32.803,110598,3627946.194,,,,,,,,
2017-01-16,33.015,33.015,31.226,31.348,69045,2164422.66,,,,,,,,
2017-01-17,30.954,31.833,30.014,31.105,134672,4188972.56,,,,,,,,
2017-01-18,30.923,32.287,30.923,31.833,62197,1979917.101,,,,,,,,
2017-01-19,32.409,32.409,31.681,31.833,45974,1463490.342,,,,,,,,
2017-01-20,31.681,31.984,31.62,31.802,76399,2429640.998,,,,,,,,
2017-01-23,31.833,31.984,31.226,31.924,62000,1979288.0,,,,,,,,
2017-01-24,31.833,32.136,31.833,32.045,23723,760203.535,,,,,,,,
2017-01-25,32.015,33.015,32.015,32.5,33930,1102725.0,,,,,,,,
2017-02-02,32.56,33.349,32.56,33.197,59391,1971603.027,,,,,,,,
2017-02-03,33.136,33.925,33.136,33.591,149507,5022089.637,,,,,,,,
2017-02-06,33.652,34.228,33.076,33.258,91966,3058605.228,,,,,,,,
