time,open,high,low,close,volume,value,foreign_buy_vol,foreign_sell_vol,foreign_buy_val,foreign_sell_val,foreign_room,foreign_ownership_pct,foreign_buy_value_bn,foreign_sell_value_bn
2013-01-02,16.834,17.364,16.728,16.94,106720,1807836.8,,,,,,,,
2013-01-03,16.94,16.94,16.728,16.94,118830,2012980.2,,,,,,,,
2013-01-04,16.94,17.046,16.728,16.94,162880,2759187.2,,,,,,,,
2013-01-07,17.046,17.787,17.046,17.681,370650,6553462.65,,,,,,,,
2013-01-08,17.892,17.999,17.681,17.892,363210,6498553.319999999,,,,,,,,
2013-01-09,17.892,17.892,17.575,17.575,81350,1429726.25,,,,,,,,
2013-01-10,17.575,17.575,17.151,17.575,120980,2126223.5,,,,,,,,
2013-01-11,17.892,17.892,17.469,17.681,171140,3025926.3400000003,,,,,,,,
2013-01-14,17.787,17.787,17.575,17.681,215400,3808487.4,,,,,,,,
2013-01-15,17.999,18.104,17.681,17.681,160930,2845403.33,,,,,,,,
2013-01-16,17.999,18.104,17.681,17.892,237940,4257222.48,,,,,,,,
2013-01-17,17.999,18.104,17.892,17.999,137110,2467842.89,,,,,,,,
2013-01-18,17.999,18.104,17.892,17.999,205380,3696634.62,,,,,,,,
2013-01-21,17.892,18.104,17.787,17.787,133100,2367449.7,,,,,,,,
2013-01-22,18.798,18.798,18.097,18.237,200700,3660165.9,,,,,,,,
2013-01-23,18.377,18.658,18.237,18.377,305690,5617665.13,,,,,,,,
2013-01-24,18.377,18.517,18.237,18.377,248840,4572932.68,,,,,,,,
2013-01-25,18.377,18.658,18.377,18.517,352190,6521502.23,,,,,,,,
2013-01-28,18.938,19.079,18.798,18.798,331350,6228717.3,,,,,,,,
2013-01-29,18.798,18.938,18.658,18.798,312550,5875314.899999999,,,,,,,,
2013-01-30,18.798,18.938,18.658,18.798,596680,11216390.64,,,,,,,,
2013-01-31,18.517,18.798,18.517,18.658,131930,2461549.94,,,,,,,,
2013-02-01,18.658,18.798,18.517,18.798,188520,3543798.9599999995,,,,,,,,
2013-02-04,18.798,18.938,18.798,18.798,244350,4593291.3,,,,,,,,
2013-02-05,18.798,19.079,18.798,18.798,741040,13930069.919999998,,,,,,,,
2013-02-06,19.079,19.079,18.798,18.938,175610,3325702.18,,,,,,,,
2013-02-07,19.079,19.079,18.798,18.938,104460,1978263.48,,,,,,,,
2013-02-08,18.798,19.079,18.517,18.938,96950,1836039.1,,,,,,,,
2013-02-18,18.938,18.938,18.517,18.517,117770,2180747.09,,,,,,,,
2013-02-19,19.079,19.079,18.658,18.798,463190,8707045.62,,,,,,,,
